,graph,algo,seed,s,t,dist,time_dist,search_space
1310,130bit,BiBFS-python,3404785993,63,245,2,6.29425048828125e-05,40
1311,130bit,BiBFS-python,3404785993,469,365,3,7.200241088867188e-05,44
1312,130bit,BiBFS-python,3404785993,317,136,2,3.0279159545898438e-05,13
1313,130bit,BiBFS-python,3404785993,525,229,2,3.814697265625e-05,18
1314,130bit,BiBFS-python,3404785993,177,226,2,4.315376281738281e-05,23
1315,130bit,BiBFS-python,3404785993,459,241,2,4.1961669921875e-05,22
1316,130bit,BiBFS-python,3404785993,378,254,2,3.886222839355469e-05,20
1317,130bit,BiBFS-python,3404785993,196,321,2,3.1948089599609375e-05,14
1318,130bit,BiBFS-python,3404785993,335,307,2,3.314018249511719e-05,14
1319,130bit,BiBFS-python,3404785993,470,460,2,4.8160552978515625e-05,16
1320,130bit,BiBFS-python,3404785993,244,537,3,7.891654968261719e-05,36
1321,130bit,BiBFS-python,3404785993,149,407,2,4.00543212890625e-05,21
1322,130bit,BiBFS-python,3404785993,292,89,3,7.891654968261719e-05,49
1323,130bit,BiBFS-python,3404785993,516,163,3,7.605552673339844e-05,44
1324,130bit,BiBFS-python,3404785993,578,85,2,4.410743713378906e-05,25
1325,130bit,BiBFS-python,3404785993,245,525,3,8.106231689453125e-05,47
1326,130bit,BiBFS-python,3404785993,165,143,2,3.600120544433594e-05,18
1327,130bit,BiBFS-python,3404785993,185,413,3,5.984306335449219e-05,33
1328,130bit,BiBFS-python,3404785993,18,575,2,4.7206878662109375e-05,25
1329,130bit,BiBFS-python,3404785993,116,63,1,1.7881393432617188e-05,7
1330,130bit,BiBFS-python,3404785993,181,100,1,1.9073486328125e-05,7
1331,130bit,BiBFS-python,3404785993,63,218,2,6.103515625e-05,38
1332,130bit,BiBFS-python,3404785993,59,524,2,0.0003619194030761719,323
1333,130bit,BiBFS-python,3404785993,178,345,2,3.790855407714844e-05,19
1334,130bit,BiBFS-python,3404785993,542,163,2,4.673004150390625e-05,28
1335,130bit,BiBFS-python,3404785993,548,528,3,5.793571472167969e-05,32
1336,130bit,BiBFS-python,3404785993,313,361,2,4.00543212890625e-05,20
1337,130bit,BiBFS-python,3404785993,513,175,2,3.409385681152344e-05,16
1338,130bit,BiBFS-python,3404785993,284,128,2,3.0994415283203125e-05,13
1339,130bit,BiBFS-python,3404785993,209,311,2,3.504753112792969e-05,18
1340,130bit,BiBFS-python,3404785993,390,495,2,4.2438507080078125e-05,23
1341,130bit,BiBFS-python,3404785993,21,177,2,3.409385681152344e-05,16
1342,130bit,BiBFS-python,3404785993,387,131,2,3.4809112548828125e-05,15
1343,130bit,BiBFS-python,3404785993,13,270,2,3.910064697265625e-05,19
1344,130bit,BiBFS-python,3404785993,574,477,3,0.0001049041748046875,51
1345,130bit,BiBFS-python,3404785993,426,507,2,5.1975250244140625e-05,31
1346,130bit,BiBFS-python,3404785993,487,565,2,3.886222839355469e-05,19
1347,130bit,BiBFS-python,3404785993,38,116,2,3.719329833984375e-05,18
1348,130bit,BiBFS-python,3404785993,323,97,2,4.6253204345703125e-05,26
1349,130bit,BiBFS-python,3404785993,123,396,4,9.703636169433594e-05,64
1350,130bit,BiBFS-python,3404785993,581,86,2,3.2901763916015625e-05,13
1351,130bit,BiBFS-python,3404785993,280,297,2,3.3855438232421875e-05,15
1352,130bit,BiBFS-python,3404785993,474,447,1,4.1961669921875e-05,28
1353,130bit,BiBFS-python,3404785993,3,539,2,0.00010204315185546875,76
1354,130bit,BiBFS-python,3404785993,52,62,2,3.1948089599609375e-05,14
1355,130bit,BiBFS-python,3404785993,452,282,3,7.081031799316406e-05,43
1356,130bit,BiBFS-python,3404785993,265,577,3,5.91278076171875e-05,32
1357,130bit,BiBFS-python,3404785993,527,139,2,3.409385681152344e-05,15
1358,130bit,BiBFS-python,3404785993,536,424,3,5.507469177246094e-05,28
1359,130bit,BiBFS-python,3404785993,63,197,2,5.888938903808594e-05,37
1360,130bit,BiBFS-python,3404785993,431,220,2,4.601478576660156e-05,26
1361,130bit,BiBFS-python,3404785993,186,513,3,6.103515625e-05,36
1362,130bit,BiBFS-python,3404785993,282,202,2,3.2901763916015625e-05,15
1363,130bit,BiBFS-python,3404785993,482,396,2,3.719329833984375e-05,17
1364,130bit,BiBFS-python,3404785993,316,141,2,3.1948089599609375e-05,14
1365,130bit,BiBFS-python,3404785993,231,348,2,3.409385681152344e-05,15
1366,130bit,BiBFS-python,3404785993,49,0,1,1.0013580322265625e-05,1
1367,130bit,BiBFS-python,3404785993,59,565,1,0.00037097930908203125,310
1368,130bit,BiBFS-python,3404785993,314,101,2,3.314018249511719e-05,11
1369,130bit,BiBFS-python,3404785993,499,212,2,4.100799560546875e-05,18
1370,130bit,BiBFS-python,3404785993,461,516,2,3.790855407714844e-05,17
1371,130bit,BiBFS-python,3404785993,460,384,2,5.817413330078125e-05,28
1372,130bit,BiBFS-python,3404785993,232,503,2,4.00543212890625e-05,20
1373,130bit,BiBFS-python,3404785993,202,284,2,3.790855407714844e-05,19
1374,130bit,BiBFS-python,3404785993,244,539,2,3.4809112548828125e-05,16
1375,130bit,BiBFS-python,3404785993,173,123,2,3.6716461181640625e-05,18
1376,130bit,BiBFS-python,3404785993,63,226,2,6.699562072753906e-05,46
1377,130bit,BiBFS-python,3404785993,553,378,4,0.00010013580322265625,61
1378,130bit,BiBFS-python,3404785993,341,44,2,3.62396240234375e-05,17
1379,130bit,BiBFS-python,3404785993,55,425,2,3.504753112792969e-05,17
1380,130bit,BiBFS-python,3404785993,88,412,2,4.220008850097656e-05,23
1381,130bit,BiBFS-python,3404785993,530,370,2,6.413459777832031e-05,42
1382,130bit,BiBFS-python,3404785993,70,349,3,5.078315734863281e-05,25
1383,130bit,BiBFS-python,3404785993,574,502,2,3.409385681152344e-05,16
1384,130bit,BiBFS-python,3404785993,242,113,2,3.528594970703125e-05,17
1385,130bit,BiBFS-python,3404785993,223,441,2,3.981590270996094e-05,20
1386,130bit,BiBFS-python,3404785993,101,557,2,9.894371032714844e-05,68
1387,130bit,BiBFS-python,3404785993,84,11,2,3.409385681152344e-05,15
1388,130bit,BiBFS-python,3404785993,512,433,2,3.409385681152344e-05,16
1389,130bit,BiBFS-python,3404785993,206,274,2,4.029273986816406e-05,21
1390,130bit,BiBFS-python,3404785993,75,522,3,6.198883056640625e-05,33
1391,130bit,BiBFS-python,3404785993,41,129,2,4.38690185546875e-05,17
1392,130bit,BiBFS-python,3404785993,503,211,2,4.982948303222656e-05,18
1393,130bit,BiBFS-python,3404785993,46,391,2,4.315376281738281e-05,15
1394,130bit,BiBFS-python,3404785993,140,164,2,3.981590270996094e-05,20
1395,130bit,BiBFS-python,3404785993,153,470,2,3.886222839355469e-05,19
1396,130bit,BiBFS-python,3404785993,483,281,2,3.790855407714844e-05,17
1397,130bit,BiBFS-python,3404785993,111,541,2,5.4836273193359375e-05,33
1398,130bit,BiBFS-python,3404785993,165,509,2,5.888938903808594e-05,37
1399,130bit,BiBFS-python,3404785993,402,137,3,9.298324584960938e-05,61
1800,145bit,BiBFS-python,3404785993,112,621,2,5.698204040527344e-05,24
1801,145bit,BiBFS-python,3404785993,246,862,2,5.602836608886719e-05,32
1802,145bit,BiBFS-python,3404785993,471,649,2,6.723403930664062e-05,43
1803,145bit,BiBFS-python,3404785993,333,135,2,5.3882598876953125e-05,32
1804,145bit,BiBFS-python,3404785993,689,857,2,4.1961669921875e-05,21
1805,145bit,BiBFS-python,3404785993,725,152,2,4.076957702636719e-05,22
1806,145bit,BiBFS-python,3404785993,112,673,2,3.695487976074219e-05,18
1807,145bit,BiBFS-python,3404785993,162,758,2,5.626678466796875e-05,33
1808,145bit,BiBFS-python,3404785993,117,584,2,5.1021575927734375e-05,29
1809,145bit,BiBFS-python,3404785993,187,44,2,3.886222839355469e-05,19
1810,145bit,BiBFS-python,3404785993,108,420,2,4.506111145019531e-05,23
1811,145bit,BiBFS-python,3404785993,804,626,4,0.00011110305786132812,72
1812,145bit,BiBFS-python,3404785993,545,234,1,2.574920654296875e-05,7
1813,145bit,BiBFS-python,3404785993,900,393,2,7.987022399902344e-05,35
1814,145bit,BiBFS-python,3404785993,303,389,2,3.886222839355469e-05,18
1815,145bit,BiBFS-python,3404785993,788,413,2,4.38690185546875e-05,24
1816,145bit,BiBFS-python,3404785993,649,437,2,0.0003390312194824219,301
1817,145bit,BiBFS-python,3404785993,337,551,2,3.504753112792969e-05,16
1818,145bit,BiBFS-python,3404785993,576,526,2,3.314018249511719e-05,14
1819,145bit,BiBFS-python,3404785993,807,789,2,4.7206878662109375e-05,25
1820,145bit,BiBFS-python,3404785993,419,921,3,5.888938903808594e-05,31
1821,145bit,BiBFS-python,3404785993,256,699,2,4.506111145019531e-05,24
1822,145bit,BiBFS-python,3404785993,501,152,2,4.291534423828125e-05,22
1823,145bit,BiBFS-python,3404785993,885,281,2,5.030632019042969e-05,28
1824,145bit,BiBFS-python,3404785993,992,146,3,5.793571472167969e-05,31
1825,145bit,BiBFS-python,3404785993,421,900,2,4.1961669921875e-05,22
1826,145bit,BiBFS-python,3404785993,283,245,2,4.1961669921875e-05,23
1827,145bit,BiBFS-python,3404785993,318,709,2,6.699562072753906e-05,25
1828,145bit,BiBFS-python,3404785993,31,987,2,4.76837158203125e-05,26
1829,145bit,BiBFS-python,3404785993,199,109,2,0.00012111663818359375,91
1830,145bit,BiBFS-python,3404785993,311,172,3,0.0001308917999267578,96
1831,145bit,BiBFS-python,3404785993,109,375,2,4.100799560546875e-05,20
1832,145bit,BiBFS-python,3404785993,102,900,3,8.392333984375e-05,54
1833,145bit,BiBFS-python,3404785993,306,593,2,5.817413330078125e-05,25
1834,145bit,BiBFS-python,3404785993,931,280,2,5.793571472167969e-05,38
1835,145bit,BiBFS-python,3404785993,941,906,4,8.296966552734375e-05,49
1836,145bit,BiBFS-python,3404785993,537,621,2,4.410743713378906e-05,24
1837,145bit,BiBFS-python,3404785993,881,301,1,2.6702880859375e-05,15
1838,145bit,BiBFS-python,3404785993,487,219,2,4.792213439941406e-05,16
1839,145bit,BiBFS-python,3404785993,358,535,2,3.695487976074219e-05,18
1840,145bit,BiBFS-python,3404785993,670,850,4,0.0001418590545654297,103
1841,145bit,BiBFS-python,3404785993,36,305,2,5.888938903808594e-05,18
1842,145bit,BiBFS-python,3404785993,665,225,2,0.00010395050048828125,48
1843,145bit,BiBFS-python,3404785993,23,463,2,4.696846008300781e-05,24
1844,145bit,BiBFS-python,3404785993,986,818,3,7.510185241699219e-05,41
1845,145bit,BiBFS-python,3404785993,731,871,2,3.600120544433594e-05,16
1846,145bit,BiBFS-python,3404785993,836,971,2,6.031990051269531e-05,35
1847,145bit,BiBFS-python,3404785993,65,199,2,3.409385681152344e-05,14
1848,145bit,BiBFS-python,3404785993,555,167,2,3.695487976074219e-05,17
1849,145bit,BiBFS-python,3404785993,211,680,2,7.891654968261719e-05,56
1850,145bit,BiBFS-python,3404785993,998,148,3,0.0001800060272216797,145
1851,145bit,BiBFS-python,3404785993,480,510,2,3.2901763916015625e-05,15
1852,145bit,BiBFS-python,3404785993,813,768,2,3.814697265625e-05,19
